,,Registration Number,Status,File Number,Owner Name,Latitude/Longitude,Structure City/State,Overall Height Above Ground (AGL)
1,161.0,1272102,Constructed,A0762135,"SBA Monarch Towers II, LLC",42-02-24.0N 070-55-46.3W,"East Bridgewater, MA",45.7
2,162.0,1272609,Constructed,A0712009,Notus Clean Energy LLC,41-36-30.4N 070-36-32.0W,"North Falmouth, MA",122.0
3,163.0,1273920,Constructed,A1023801,T-Mobile USA Tower LLC,42-02-23.4N 070-46-03.9W,"Pembroke, MA",46.3
4,164.0,1275495,Granted,A0693110,Aquacultural Research Corporation,41-43-46.1N 070-14-01.4W,"Dennis, MA",74.0
5,165.0,1277136,Constructed,A0756283,Barnstable Municipal Airport,41-39-57.8N 070-17-08.5W,"Hyannis, MA",31.0
6,166.0,1277868,Constructed,A1027322,CCATT LLC,41-23-10.3N 070-36-41.7W,"VINEYARD HAVEN, MA",22.9
7,167.0,1279284,Constructed,A0762509,"SBA Monarch Towers II, LLC",41-49-18.3N 070-58-11.1W,"Lakeville, MA",56.4
8,168.0,1279881,Constructed,A0781947,COMM Fire District,41-39-30.0N 070-21-07.3W,"Centerville, MA",59.4
9,169.0,1280449,Constructed,A0760877,"ATC Outdoor DAS, LLC",41-22-27.9N 070-42-11.0W,"Chilmark, MA",14.6
10,170.0,1280452,Constructed,A0761260,"ATC Outdoor DAS, LLC",41-23-36.2N 070-42-42.1W,"Chilmark, MA",14.9
1,171.0,1280453,Constructed,A0758789,"ATC Outdoor DAS, LLC",41-22-09.8N 070-41-11.1W,"Chilmark, MA",14.6
2,172.0,1280459,Constructed,A0758780,"ATC Outdoor DAS, LLC",41-21-15.0N 070-41-56.3W,"Chilmark, MA",14.6
3,173.0,1280461,Constructed,A0758777,"ATC Outdoor DAS, LLC",41-21-27.9N 070-44-54.2W,"Chilmark, MA",14.6
4,174.0,1282803,Cancelled,A0876257,T-Mobile Northeast LLC,42-01-33.5N 070-43-35.2W,"Duxbury, MA",36.6
5,175.0,1284573,Constructed,A0843332,"Industrial Tower and Wireless, LLC",41-45-15.5N 070-57-55.1W,"Freetown, MA",96.0
6,176.0,1288214,Granted,A0839134,Commonwealth of Massachusetts Department of State Police,41-41-06.7N 070-21-27.1W,"Barnstable, MA",22.8
7,177.0,1288243,Constructed,A0866571,"Exelis, Inc.",41-23-14.0N 070-36-41.6W,"West Tinsbury, MA",30.5
8,178.0,1288256,Granted,A1081041,Cellco Partnership,41-20-54.5N 070-42-27.4W,"Chilmark, MA",18.2
9,179.0,1288257,Granted,A1081042,Cellco Partnership,41-21-19.3N 070-41-59.6W,"Chillmark, MA",18.2
10,180.0,1288566,Constructed,A0921114,"GCGI Development, LLC",41-25-12.3N 070-35-30.0W,"Oak Bluffs, MA",37.4
1,181.0,1289879,Constructed,A0978384,Acushnet Police Department,41-41-17.7N 070-55-11.3W,"Acushnet, MA",51.8
2,182.0,1292176,Constructed,A1001990,"IWG Towers Assets I, LLC",41-44-30.5N 070-34-57.9W,"Bourne, MA",39.9
3,183.0,1293920,Constructed,A1048531,"Hall Communications, Inc.",41-38-29.1N 070-57-31.9W,"New Bedford, MA",60.7
4,184.0,1294498,Constructed,A1048530,"Hall Communications, Inc.",41-37-20.2N 070-55-07.5W,"New Bedford, MA",182.9
5,185.0,1296443,Constructed,A1032958,"Industrial Tower and Wireless, LLC",41-35-40.1N 070-33-58.8W,"Falmouth, MA",45.7
6,186.0,1301069,Cancelled,A1086070,Eco-Site,41-41-41.8N 070-29-57.7W,"Sandwich, MA",41.2
7,187.0,1301823,Granted,A1065048,Hyannis Fire District,41-39-12.5N 070-17-21.5W,"Hyannis, MA",42.0
